depth_final,a1,a2,a3,a4,a5,a6,a7,a8
150,1.535,0.000075,0.000005,0.000005,0.865,1,0.305,0.5
300,1.125,0.000065,0.000005,0.000005,0.865,1,0.305,0.5
450,1.289,0.000065,0.000005,0.000005,0.865,1,0.305,0.5
600,1.259,0.000075,0.000005,0.000005,0.865,1,0.305,0.5
750,1.329,0.000075,0.000005,0.000005,0.865,1,0.305,0.5
900,1.831,0.000075,0.000005,0.000005,0.865,1,0.305,0.5
1050,1.003,0.000075,0.000005,0.000005,0.865,1,0.305,0.5
1200,0.7,0.000075,0.000005,0.000005,0.865,1,0.305,0.5
1350,1.516,0.000075,0.000005,0.000005,0.865,1,0.305,0.5
1500,1.444,0.000075,0.000005,0.000005,0.865,1,0.305,0.5
1650,1.333,0.000075,0.000005,0.000005,0.865,1,0.305,0.5
1800,1.22,0.000075,0.000005,0.000005,0.865,1,0.305,0.5
1950,1.11,0.000075,0.000005,0.000005,0.865,1,0.305,0.5
2100,1.003,0.000075,0.000005,0.000005,0.865,1,0.305,0.5
